PC	batch	Island	Sampling.Site	Language	Sampling.Date	Age	RNA.Extraction.Batch	Sequencing.pool	RIN	Mappi	Season	Gran	Bcell	CD4T	CD8T	NK	Mono	replicate	Variance
42	0.908028537045903	0.982309480556274	0.716027441448947	0.736795213066824	0.760653934519657	0.0711258800969574	0.157450674167169	0.575787458419869	0.724063881368983	0.859866196306759	0.859866196306759	0.789868653092577	0.831003035869742	0.786313378343763	0.473096471639241	0.907052510966207	0.832185257465031	0.678655860494438	0.00326127889531908
43	0.692653881495017	0.961450187919475	0.760012366202678	0.761206876213224	0.581384903315827	0.539019029844451	0.151625310457617	0.480274605854279	0.137170781576866	0.850263473367145	0.850263473367145	0.933662968011799	0.983343117461748	0.908285915791136	0.67532691100809	0.667491764880001	0.890239449178618	0.109852955202394	0.00324371062368733
44	0.962293644890991	0.844577173552121	0.574681126602187	0.715890225336521	0.466097005391137	0.628290028349901	0.147212818993467	0.865545260792522	0.501466837170554	0.653680724854135	0.653680724854135	0.839837853295053	0.672132269858832	0.979031073889399	0.640188907662304	0.626969792527968	0.964540195853549	0.502861523451084	0.00317138619463754
45	0.946715322641789	0.879621990817681	0.958604311174402	0.980217446715002	0.926675311095978	0.0853125984711424	0.597269554138276	0.303747940156443	0.835004784196437	0.782842248385492	0.782842248385492	0.884992927251609	0.981639314966829	0.743671452014618	0.166003850998893	0.327236458596552	0.851813456057469	0.124445250829771	0.00312771011928326
46	0.989399369127096	0.90098322995068	0.67117766814278	0.7528353211114	0.730243559732477	0.262295990034909	0.0908503843132829	0.405190767688363	0.991865367565331	0.699501083966304	0.699501083966304	0.945822382048419	0.986795046210838	0.763330021970082	0.913582437334053	0.79454136943265	0.99622824892217	0.215463574152707	0.00311420143123865
47	0.983991104730793	0.946859945515011	0.293559651530274	0.399574980091737	0.437260312445822	0.907381122813798	0.570401762807411	0.725594835544752	0.559806726897756	0.770069277684916	0.770069277684916	0.64444688699561	0.709772846389079	0.665404518632885	0.906145079332693	0.505658958597139	0.825592038355983	0.797594813608694	0.00307124503617784
48	0.844471034129312	0.980267324997153	0.345147455954519	0.522300897312549	0.38010060875011	0.913032205042587	0.0235294944987387	0.279666134195517	0.950777632677799	0.875474271634269	0.875474271634269	0.833143330796477	0.926596696163283	0.23623592140842	0.909708497793928	0.442749012376669	0.919314730657936	0.498628334885358	0.00304023051289033
49	0.97152388411601	0.935285111230888	0.986924699638334	0.98413406096745	0.968432793343764	0.713165145463807	0.40670046698471	0.980675526467132	0.322507953829966	0.731593746770643	0.731593746770643	0.938361560940665	0.774014119298995	0.863457114455053	0.61871364109605	0.696452686933304	0.821391446933652	0.661903494992721	0.00298680013267716
50	0.994819424706529	0.870368379524005	0.864553347612066	0.300806320342166	0.945568644328992	0.525622107422358	0.558443149452535	0.933042600854668	0.831491026888197	0.782037403490844	0.782037403490844	0.805066849410754	0.614911312738632	0.722655751268137	0.394442174703708	0.424270155065398	0.976868589871317	0.399158554429089	0.00290571322384705
51	0.896807331606896	0.858471023364791	0.777339891210004	0.424964933961578	0.850930517148984	0.535255609004053	0.129605370233826	0.0587011962944056	0.599147680062111	0.753622989717723	0.753622989717723	0.728764734975006	0.955277133188821	0.807010883738706	0.194451420608855	0.715841665987028	0.745237226222068	0.915673556989645	0.00288568504524997
52	0.950528037761745	0.989659222925749	0.986747393876323	0.923026563855178	0.901693750756819	0.693120998195007	0.258963511739444	0.847242796534672	0.48476272851001	0.899080222833002	0.899080222833002	0.950969401500028	0.816685888568325	0.665978223637933	0.705597295225452	0.931645004412337	0.850449656177991	0.804097684580284	0.00287426136703683
53	0.996117045657879	0.995915291570906	0.996923060766593	0.994555580561185	0.997182091535481	0.732555333034553	0.576777347046375	0.17052823772145	0.421883180413856	0.928531150866442	0.928531150866442	0.79731183536366	0.777775519928794	0.774129292067935	0.507865870346106	0.697592871532298	0.925090099039882	0.498680356732591	0.00284376157161841
54	0.938595921291543	0.974979787733384	0.668860384530783	0.642515303890574	0.813701926794469	0.123785284912825	0.866384538543546	0.79895179168602	0.636754406528078	0.870224473719706	0.870224473719706	0.506565500652586	0.781218342801649	0.600636098562744	0.556618261448798	0.805518074656972	0.77521815039434	0.940327190576981	0.00283839515301592
55	0.968300511213082	0.996640842564246	0.81848069319068	0.777016881398637	0.770735584839312	0.734712153198779	0.955127521673951	0.570581723495265	0.354813667833519	0.939150352376673	0.939150352376673	0.90361205302475	0.946130583269954	0.914024297211794	0.891866913139111	0.971320608357301	0.898571415814595	0.948520913953084	0.00277966239837574
56	0.895978114173384	0.891306676760235	0.470611839722966	0.534363807013796	0.648635569221961	0.608836892050214	0.988940892396382	0.0830377715903353	0.549090753538083	0.994880064829437	0.994880064829437	0.924143191335276	0.851892291909259	0.94851635672452	0.831374701229453	0.978474956167144	0.727753855105848	0.946750550731447	0.00273305004264902
57	0.980828047931604	0.875982904926267	0.849211616703166	0.539558875081995	0.640853462222796	0.277459350989978	0.0392610725091073	0.34198687066205	0.404669729453372	0.78515525556554	0.78515525556554	0.992576121456068	0.817303761523471	0.848972980890115	0.603252870342893	0.563042517823278	0.747209858137945	0.73342368297313	0.00271505146982177
