"PC" "lib.size" "batch" "Island" "Sampling.Site" "Language" "Sampling.Date" "Age" "RNA.Extraction.Batch" "Sequencing.pool" "RIN" "Mappi" "Season" "Gran" "Bcell" "CD4T" "CD8T" "NK" "Mono" "ID" "replicate" "microscopy.pos" "PCR.pos" "fract.pfpx.reads" "ind" "Variance"
"35" 35 0.702405158300635 0.992675747118755 0.951555358317389 0.483469076615612 0.547315396675994 0.659344509677915 0.880791231758508 0.116515939427128 0.638574860995969 0.912630620065222 0.81019362276839 0.81019362276839 0.966605354991403 0.964020924694124 0.980163604102503 0.998722710059986 0.941345897670418 0.952146228236202 8.10408367510646e-05 0.58520881015078 0.815025350727206 0.816260054506498 0.921702676965542 8.10408367510646e-05 0.00537967346032688
"36" 36 0.136685154645262 0.998430836554041 0.928273574860305 0.765946080502529 0.649181881685769 0.821149723547099 0.908690760069864 0.818309634012278 0.635123187959416 0.983984399706751 0.711955591118116 0.711955591118116 0.978750546904431 0.972050834248587 0.953328404591363 0.994652609380891 0.886459483961628 0.955513561484401 0.0160829696768721 0.304499402268998 0.812734849081037 0.792311531678938 0.195093463684569 0.0160829696768721 0.00535007543513482
"37" 37 0.835232744211851 0.954692953825463 0.753692884940344 0.857859727915723 0.934630453540578 0.691716619309076 0.724148261182998 0.718203666083986 0.0965371334016476 0.780289154673622 0.597272805141003 0.597272805141003 0.912242839129247 0.915560836979606 0.941031526774037 0.997866826712962 0.87614169692423 0.871704395827847 0.000523409363110585 0.79781625123066 0.956466781630858 0.926741507638851 0.397253247086348 0.000523409363110585 0.00524724496171313
"38" 38 0.974272891224036 0.999855933832505 0.992763521275598 0.902347795091534 0.963558494226815 0.941121931069673 0.969012994681646 0.559406135418532 0.828412063879774 0.997933913112003 0.906445503482091 0.906445503482091 0.994696379799481 0.990548906261309 0.986688190871933 0.9983656945638 0.96421942511392 0.988209040197852 2.89310742831331e-05 0.98701559745572 0.830912352370423 0.911013654068428 0.355265635900585 2.89310742831331e-05 0.00515430463135664
"39" 39 0.592894458430288 0.999350639866409 0.982937008860289 0.459971475991903 0.56974807490094 0.516838439765335 0.938436295054155 0.0991440347492903 0.989351555712554 0.982457516398955 0.853018663326732 0.853018663326732 0.998331922488464 0.981322456019846 0.989678204962683 0.99789121217541 0.94688845626229 0.997727930827237 1.88697369532271e-05 0.410777931175756 0.0643973601409558 0.0421548861261597 0.53176768740266 1.88697369532271e-05 0.00506262354415287
"40" 40 0.588750554345828 0.99003546874547 0.933479951071898 0.895525188287909 0.901351020599977 0.597470217473788 0.977036484696857 0.0719707592848868 0.641625025276238 0.8925663869469 0.875067381249629 0.875067381249629 0.942334909196182 0.993562193455952 0.928462764481882 0.995454017683715 0.935671277823966 0.902116457386226 0.00853499014864233 0.794830450796277 0.960194940592995 0.847605950381235 0.815020498480639 0.00853499014864233 0.00499458538800264
"41" 41 0.84977157789829 0.998724970706884 0.991947781323163 0.680841975880369 0.475046471768889 0.806512449566917 0.989056257719769 0.138373023092281 0.232533986497079 0.961449604148341 0.963036898073182 0.963036898073182 0.979710202412161 0.996866093095787 0.975401942476666 0.998507107043968 0.97994970115567 0.965750201564963 0.00203420042755653 0.261639381713901 0.646044635338091 0.580165299585561 0.173792354435238 0.00203420042755653 0.00488933480778621
"42" 42 0.916844117941148 0.987656632036861 0.764286462899353 0.853998004794866 0.939678693865403 0.887640777663455 0.751945017835209 0.408626898447252 0.610999850918566 0.913858009450889 0.467649876668718 0.467649876668718 0.98498232069126 0.923762670311939 0.968606560359261 0.992137050078759 0.796834531819945 0.995092499607267 0.000185750022782408 0.922075703474719 0.162834506139699 0.411875439442453 0.595900413610729 0.000185750022782408 0.00485602479940236
"43" 43 0.193332305857478 0.992011635045317 0.913920156522982 0.981279631353526 0.45407142586359 0.89301697388966 0.841995436608315 0.711097366714053 0.608964132863951 0.915500561213471 0.696389156281156 0.696389156281156 0.973487640401975 0.952025282420503 0.997273695900732 0.996632082766159 0.895884733939609 0.967366565742487 0.000116289747916011 0.930046542220404 0.950658799004906 0.803963030887042 0.531796173637071 0.000116289747916011 0.00481733133079209
"44" 44 0.595824709091086 0.999645437518526 0.995813736865022 0.529071205971703 0.670309125563016 0.547795125615816 0.994884567870101 0.119281233309339 0.954920909089926 0.980460595444021 0.950310967251488 0.950310967251488 0.988294908795836 0.998340789474939 0.983486167275387 0.99871883815314 0.978122051213197 0.979281498443482 0.00112631562927864 0.771035568281878 0.570685167897053 0.848047690304716 0.495121801923398 0.00112631562927864 0.00469951221464204
